comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
"La mayor parte del contenido me resulta aplicable a mi trabajo. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,informal,largo,3,5,conocimientos_utiles_futuro,3,5
Hay un buen equilibrio entre explicación y ejercicios prácticos. Me gustaría que se introdujeran cambios en este sentido.,positivo,metodologia,sugerencia,medio,3,5,grado_dificultad,3,5
La mayoría de las sesiones me parecen poco aprovechables.,muy_negativo,clase,queja,corto,1,2,clase_horario,1,2
"No tengo una opinión muy marcada sobre el profesor, es aceptable. Creo que aún se podrían mejorar algunos detalles.",neutral,profesor,constructivo,medio,2,4,dominio_materia,2,4
Me siento cómodo participando en las clases.,positivo,clase,sugerencia,corto,3,5,clase_conveniencia_dia,3,5
Echo en falta más actividades prácticas en esta metodología. Creo que aún se podrían mejorar algunos detalles.,negativo,metodologia,constructivo,corto,1,3,grado_dificultad,1,3
Los temas tratados son muy relevantes para mi desarrollo profesional. Valoro mucho este aspecto del curso.,muy_positivo,contenido,elogio,medio,4,5,conocimientos_utiles_futuro,4,5
Las conexiones fallan con bastante frecuencia. Creo que aún se podrían mejorar algunos detalles.,negativo,tecnologia,constructivo,medio,1,3,clase_calidad_audio,1,3
Las dinámicas de clase me resultan poco útiles y repetitivas.,muy_negativo,metodologia,queja,corto,1,2,contenidos_adecuados,1,2
"La metodología del curso no se adapta nada a mis necesidades. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,metodologia,formal,largo,1,2,organiza_actividades,1,2
"A veces tardan un poco en contestar, pero termina resolviéndose.",neutral,soporte,informal,corto,2,4,velocidad_respuesta,2,4
"Las clases son correctas, sin algo especialmente destacable.",neutral,clase,formal,medio,2,4,clase_duracion,2,4
La mayor parte del contenido me resulta aplicable a mi trabajo.,positivo,contenido,constructivo,corto,3,5,conocimientos_utiles_futuro,3,5
"La plataforma cumple su función, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,sugerencia,largo,2,4,clase_calidad_conexion,2,4
"Me encanta la combinación de teoría y práctica que se utiliza en el curso. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,elogio,largo,4,5,conocimientos_utiles_futuro,4,5
"La experiencia tecnológica es satisfactoria en la mayoría de las clases. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,constructivo,largo,3,5,clase_calidad_conexion,3,5
"La estructura de las sesiones es razonable, pero algo predecible. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,sugerencia,largo,2,4,organiza_actividades,2,4
En general estoy contento con el curso.,positivo,general,sugerencia,corto,3,5,ninguno,1,5
"Las clases suelen tener un ritmo adecuado en la mayoría de los días. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,informal,largo,3,5,clase_conveniencia_dia,3,5
"En general estoy satisfecho con cómo el profesor lleva las clases. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,sugerencia,largo,3,5,accesible_y_atiende_consultas,3,5
Las incidencias se acumulan sin una solución clara. Este punto me genera bastante frustración.,muy_negativo,soporte,queja,medio,1,2,utilidad_anuncios,1,2
"Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,metodologia,formal,largo,1,2,conocimientos_utiles_futuro,1,2
"Las clases tienen un ritmo muy bueno y mantienen mi atención. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,elogio,largo,4,5,clase_duracion,4,5
Mi experiencia global con el curso ha sido claramente negativa.,muy_negativo,general,formal,corto,1,2,ninguno,1,5
El balance del curso es claramente positivo para mí. Valoro mucho este aspecto del curso.,positivo,general,elogio,medio,3,5,ninguno,1,5
"El temario cumple, sin aportar nada extraordinario. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,constructivo,largo,2,4,conocimientos_utiles_futuro,2,4
"Los problemas técnicos son constantes y afectan mucho a mi aprendizaje. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,queja,largo,1,2,clase_visibilidad_pantalla,1,2
El soporte casi nunca responde a tiempo a mis consultas.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
Algunas sesiones se sienten poco productivas. Creo que aún se podrían mejorar algunos detalles.,negativo,clase,constructivo,medio,1,3,clase_horario,1,3
El profesor domina el contenido y sabe transmitirlo de manera excelente.,muy_positivo,profesor,formal,corto,4,5,preparado_clases,4,5
"A veces las clases son más interesantes y otras más densas. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,sugerencia,largo,2,4,clase_duracion,2,4
La atención al alumno en general es buena. Valoro mucho este aspecto del curso.,positivo,soporte,elogio,medio,3,5,utilidad_anuncios,3,5
He tenido que insistir más de una vez para resolver algunos problemas. Este punto me genera bastante frustración.,negativo,soporte,queja,corto,1,3,utilidad_anuncios,1,3
Mi experiencia global con el curso ha sido claramente negativa. Este punto me genera bastante frustración.,muy_negativo,general,queja,corto,1,2,ninguno,1,5
"La estructura de las sesiones es razonable, pero algo predecible. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,informal,largo,2,4,grado_dificultad,2,4
La experiencia en clase es razonable y estable. Me gustaría que se introdujeran cambios en este sentido.,neutral,clase,sugerencia,medio,2,4,clase_conveniencia_dia,2,4
Hay un buen equilibrio entre explicación y ejercicios prácticos.,positivo,metodologia,informal,corto,3,5,conocimientos_utiles_futuro,3,5
"La experiencia en clase es razonable y estable. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,sugerencia,largo,2,4,clase_duracion,2,4
"El temario no siempre se ajusta a lo que esperaba aprender. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,informal,largo,1,3,contenidos_adecuados,1,3
El curso ha superado mis expectativas en casi todos los aspectos.,muy_positivo,general,formal,medio,4,5,ninguno,1,5
"La plataforma a veces se bloquea o responde lenta. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,formal,largo,1,3,clase_visibilidad_pantalla,1,3
Solo he tenido pequeños problemas técnicos que se han resuelto rápido.,positivo,tecnologia,informal,medio,3,5,clase_calidad_audio,3,5
"Siento que pierdo el tiempo en bastantes sesiones. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,clase,formal,largo,1,2,clase_horario,1,2
El formato de las sesiones me ayuda a seguir el hilo del curso.,positivo,clase,informal,medio,3,5,clase_horario,3,5
La atención al alumno podría ser bastante más ágil.,negativo,soporte,formal,corto,1,3,velocidad_respuesta,1,3
El profesor responde a las dudas y facilita el seguimiento del temario. Me gustaría que se introdujeran cambios en este sentido.,positivo,profesor,sugerencia,medio,3,5,preparado_clases,3,5
Estoy muy insatisfecho con la atención recibida por parte del soporte. Este punto me genera bastante frustración.,muy_negativo,soporte,queja,medio,1,2,utilidad_anuncios,1,2
"La calidad del audio o vídeo a veces dificulta seguir la clase. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,constructivo,largo,1,3,clase_calidad_conexion,1,3
"Las incidencias se acumulan sin una solución clara. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,formal,largo,1,2,utilidad_anuncios,1,2
Hay partes del contenido que me interesan y otras que no tanto. Creo que aún se podrían mejorar algunos detalles.,neutral,contenido,constructivo,medio,2,4,conocimientos_utiles_futuro,2,4
"Hay partes del contenido que me interesan y otras que no tanto. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,sugerencia,largo,2,4,conocimientos_utiles_futuro,2,4
No he tenido prácticamente ningún problema técnico durante el curso.,muy_positivo,tecnologia,informal,medio,4,5,clase_visibilidad_pantalla,4,5
En ocasiones las clases se hacen demasiado largas.,negativo,clase,informal,corto,1,3,clase_duracion,1,3
La metodología es adecuada y me ayuda a entender mejor los temas.,positivo,metodologia,elogio,corto,3,5,conocimientos_utiles_futuro,3,5
La experiencia en clase es razonable y estable.,neutral,clase,informal,medio,2,4,clase_duracion,2,4
"En general estoy satisfecho con el contenido que se ha impartido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,formal,largo,3,5,contenidos_adecuados,3,5
Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,contenidos_adecuados,1,2
"He echado en falta mayor profundidad en ciertos apartados. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,queja,largo,1,3,conocimientos_utiles_futuro,1,3
"La forma de plantear las tareas no siempre ayuda a consolidar lo aprendido. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,formal,largo,1,3,grado_dificultad,1,3
Estoy muy insatisfecho con la parte tecnológica del curso.,muy_negativo,tecnologia,formal,medio,1,2,clase_calidad_audio,1,2
No estoy nada satisfecho con la forma de enseñar del profesor. Este punto me genera bastante frustración.,muy_negativo,profesor,queja,medio,1,2,accesible_y_atiende_consultas,1,2
"Hay varios aspectos del curso que me han dejado insatisfecho. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,queja,largo,1,3,ninguno,1,5
El ritmo de clase no siempre se adapta al grupo. Este punto me genera bastante frustración.,negativo,clase,queja,medio,1,3,clase_horario,1,3
Las soluciones que me han dado no siempre han sido claras.,negativo,soporte,informal,medio,1,3,utilidad_anuncios,1,3
Me cuesta seguir las explicaciones del profesor en algunas sesiones. Este punto me genera bastante frustración.,negativo,profesor,queja,corto,1,3,mantiene_atencion,1,3
Estoy muy insatisfecho con la atención recibida por parte del soporte.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
"El profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles.",neutral,profesor,formal,corto,2,4,preparado_clases,2,4
He tenido que insistir más de una vez para resolver algunos problemas.,negativo,soporte,informal,corto,1,3,utilidad_anuncios,1,3
Las clases tienen un ritmo muy bueno y mantienen mi atención.,muy_positivo,clase,informal,corto,4,5,clase_duracion,4,5
"Las explicaciones del profesor son buenas y ayudan a entender la materia. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,formal,largo,3,5,preparado_clases,3,5
"El ambiente en clase favorece mucho la participación. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,formal,largo,4,5,clase_horario,4,5
"No estoy nada satisfecho con la forma de enseñar del profesor. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,formal,largo,1,2,mantiene_atencion,1,2
"Las actividades son aceptables, aunque podrían ser más variadas. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,sugerencia,largo,2,4,organiza_actividades,2,4
"En general estoy satisfecho con el contenido que se ha impartido. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,sugerencia,largo,3,5,conocimientos_utiles_futuro,3,5
"El formato de las sesiones me ayuda a seguir el hilo del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,formal,largo,3,5,clase_horario,3,5
"Me gustaría que la metodología fuera más interactiva. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,constructivo,largo,1,3,conocimientos_utiles_futuro,1,3
"La metodología del curso me resulta correcta, sin destacar demasiado. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,informal,largo,2,4,grado_dificultad,2,4
"El programa del curso cubre exactamente lo que esperaba aprender. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,informal,largo,4,5,conocimientos_utiles_futuro,4,5
Parte del contenido me ha parecido desactualizado o repetitivo.,negativo,contenido,informal,medio,1,3,conocimientos_utiles_futuro,1,3
La experiencia general ha sido peor de lo que esperaba. Este punto me genera bastante frustración.,muy_negativo,general,queja,medio,1,2,ninguno,1,5
"Cuando he tenido incidencias, se han resuelto adecuadamente. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,elogio,largo,3,5,utilidad_anuncios,3,5
"Las clases se me hacen muy pesadas y difíciles de seguir. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,clase,queja,largo,1,2,clase_conveniencia_dia,1,2
"La plataforma a veces se bloquea o responde lenta. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,constructivo,largo,1,3,clase_calidad_conexion,1,3
"La metodología a veces hace que las clases se sientan algo monótonas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,queja,largo,1,3,contenidos_adecuados,1,3
El contenido es interesante y útil en la mayoría de los temas.,positivo,contenido,formal,corto,3,5,contenidos_adecuados,3,5
"El contenido del curso está muy bien seleccionado y actualizado. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,informal,largo,4,5,contenidos_adecuados,4,5
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala. Creo que aún se podrían mejorar algunos detalles.",neutral,metodologia,constructivo,medio,2,4,organiza_actividades,2,4
Parte del contenido me ha parecido desactualizado o repetitivo. Este punto me genera bastante frustración.,negativo,contenido,queja,medio,1,3,conocimientos_utiles_futuro,1,3
"El soporte responde de forma correcta, sin destacar demasiado. Creo que aún se podrían mejorar algunos detalles.",neutral,soporte,constructivo,medio,2,4,utilidad_anuncios,2,4
"Solo he tenido pequeños problemas técnicos que se han resuelto rápido. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,elogio,largo,3,5,clase_visibilidad_pantalla,3,5
La calidad de audio y vídeo en las clases online es excelente. Valoro mucho este aspecto del curso.,muy_positivo,tecnologia,elogio,medio,4,5,clase_calidad_conexion,4,5
"El profesor domina el contenido y sabe transmitirlo de manera excelente. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,profesor,elogio,largo,4,5,accesible_y_atiende_consultas,4,5
"En ocasiones las clases se hacen demasiado largas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,constructivo,largo,1,3,clase_horario,1,3
Estoy muy decepcionado con el enfoque y selección del temario. Este punto me genera bastante frustración.,muy_negativo,contenido,queja,medio,1,2,conocimientos_utiles_futuro,1,2
"Las explicaciones del profesor son buenas y ayudan a entender la materia. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,constructivo,largo,3,5,mantiene_atencion,3,5
"No recomendaría este curso a otras personas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,general,queja,largo,1,2,ninguno,1,5
"No recomendaría este curso a otras personas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,general,formal,largo,1,2,ninguno,1,5
"El contenido es interesante y útil en la mayoría de los temas. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,sugerencia,largo,3,5,conocimientos_utiles_futuro,3,5
"No tengo una opinión muy marcada sobre el profesor, es aceptable. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,constructivo,largo,2,4,dominio_materia,2,4
"Las actividades son aceptables, aunque podrían ser más variadas. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,informal,largo,2,4,contenidos_adecuados,2,4
"El temario no siempre se ajusta a lo que esperaba aprender. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,constructivo,largo,1,3,contenidos_adecuados,1,3
"Cuando he tenido incidencias, se han resuelto adecuadamente. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,formal,largo,3,5,utilidad_anuncios,3,5
"El soporte responde de forma correcta, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido.",neutral,soporte,sugerencia,medio,2,4,utilidad_anuncios,2,4
"Las clases se me pasan rápido porque son dinámicas y entretenidas. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,elogio,largo,4,5,clase_duracion,4,5
Echo en falta más ejemplos o aclaraciones por parte del profesor.,negativo,profesor,formal,medio,1,3,mantiene_atencion,1,3
"El balance del curso es claramente positivo para mí. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,formal,largo,3,5,ninguno,1,5
"El profesor cumple con su función, sin destacar especialmente. Me gustaría que se introdujeran cambios en este sentido.",neutral,profesor,sugerencia,medio,2,4,dominio_materia,2,4
Los materiales del curso aportan valor y complementan bien las clases. Me gustaría que se introdujeran cambios en este sentido.,positivo,contenido,sugerencia,medio,3,5,contenidos_adecuados,3,5
"Las explicaciones del profesor me resultan confusas y poco útiles. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,queja,largo,1,2,recomendaria_profesor,1,2
Las explicaciones del profesor son buenas y ayudan a entender la materia.,positivo,profesor,formal,medio,3,5,mantiene_atencion,3,5
La plataforma a veces se bloquea o responde lenta.,negativo,tecnologia,informal,medio,1,3,clase_visibilidad_pantalla,1,3
"Me siento muy acompañado por el soporte académico y técnico. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,soporte,formal,largo,4,5,velocidad_respuesta,4,5
La organización de cada sesión hace que aproveche muy bien el tiempo. Valoro mucho este aspecto del curso.,muy_positivo,clase,elogio,medio,4,5,clase_horario,4,5
"La atención es aceptable pero podría ser más proactiva. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,sugerencia,largo,2,4,velocidad_respuesta,2,4
La plataforma funciona de forma muy fluida y sin interrupciones. Valoro mucho este aspecto del curso.,muy_positivo,tecnologia,elogio,corto,4,5,clase_visibilidad_pantalla,4,5
En general las clases son agradables y productivas.,positivo,clase,formal,corto,3,5,clase_horario,3,5
"No siento que el equipo de soporte se preocupe por mis problemas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,queja,largo,1,2,utilidad_anuncios,1,2
"Me cuesta mantener la atención durante toda la clase. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,queja,largo,1,3,clase_duracion,1,3
"Cuando he tenido incidencias, se han resuelto adecuadamente.",positivo,soporte,elogio,corto,3,5,velocidad_respuesta,3,5
"Las dinámicas de clase me resultan poco útiles y repetitivas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,metodologia,formal,largo,1,2,grado_dificultad,1,2
"La tecnología utilizada facilita mucho el seguimiento de las sesiones. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,elogio,largo,4,5,clase_calidad_audio,4,5
"La experiencia general ha sido peor de lo que esperaba. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,general,queja,largo,1,2,ninguno,1,5
"La experiencia en clase es razonable y estable. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,formal,largo,2,4,clase_duracion,2,4
Me gustaría que la metodología fuera más interactiva. Este punto me genera bastante frustración.,negativo,metodologia,queja,medio,1,3,contenidos_adecuados,1,3
La dedicación del profesor marca una diferencia enorme en mi aprendizaje. Valoro mucho este aspecto del curso.,muy_positivo,profesor,elogio,corto,4,5,accesible_y_atiende_consultas,4,5
La experiencia tecnológica es satisfactoria en la mayoría de las clases. Valoro mucho este aspecto del curso.,positivo,tecnologia,elogio,medio,3,5,clase_calidad_audio,3,5
La calidad de la conexión suele ser buena. Valoro mucho este aspecto del curso.,positivo,tecnologia,elogio,corto,3,5,clase_calidad_conexion,3,5
Las respuestas del equipo de soporte son útiles la mayoría de las veces. Valoro mucho este aspecto del curso.,positivo,soporte,elogio,medio,3,5,utilidad_anuncios,3,5
"He echado en falta mayor profundidad en ciertos apartados. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,constructivo,largo,1,3,contenidos_adecuados,1,3
Me gustaría que la metodología fuera más interactiva. Creo que aún se podrían mejorar algunos detalles.,negativo,metodologia,constructivo,medio,1,3,organiza_actividades,1,3
En general la plataforma responde bien y es estable. Valoro mucho este aspecto del curso.,positivo,tecnologia,elogio,medio,3,5,clase_calidad_audio,3,5
"El profesor suele explicar bien, aunque a veces va un poco rápido. Creo que aún se podrían mejorar algunos detalles.",positivo,profesor,constructivo,medio,3,5,dominio_materia,3,5
"La organización de cada sesión hace que aproveche muy bien el tiempo. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,informal,largo,4,5,clase_duracion,4,5
Las clases se me pasan rápido porque son dinámicas y entretenidas.,muy_positivo,clase,informal,corto,4,5,clase_horario,4,5
"Me cuesta seguir las explicaciones del profesor en algunas sesiones. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,profesor,formal,largo,1,3,mantiene_atencion,1,3
La forma de plantear las tareas no siempre ayuda a consolidar lo aprendido. Creo que aún se podrían mejorar algunos detalles.,negativo,metodologia,constructivo,medio,1,3,grado_dificultad,1,3
Me cuesta seguir las explicaciones del profesor en algunas sesiones.,negativo,profesor,informal,corto,1,3,dominio_materia,1,3
Algunas sesiones se sienten poco productivas.,negativo,clase,constructivo,corto,1,3,clase_conveniencia_dia,1,3
No veo relación clara entre la metodología y los objetivos del curso. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,conocimientos_utiles_futuro,1,2
Me siento cómodo participando en las clases. Valoro mucho este aspecto del curso.,positivo,clase,elogio,medio,3,5,clase_conveniencia_dia,3,5
La plataforma a veces se bloquea o responde lenta. Creo que aún se podrían mejorar algunos detalles.,negativo,tecnologia,constructivo,corto,1,3,clase_calidad_audio,1,3
"La experiencia general ha sido muy positiva para mí. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,formal,largo,4,5,ninguno,1,5
"Los temas tratados son muy relevantes para mi desarrollo profesional. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,elogio,largo,4,5,conocimientos_utiles_futuro,4,5
"En general la plataforma responde bien y es estable. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,constructivo,largo,3,5,clase_calidad_conexion,3,5
"El formato de las sesiones me ayuda a seguir el hilo del curso. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,sugerencia,largo,3,5,clase_conveniencia_dia,3,5
La metodología fomenta la participación y me mantiene motivado. Valoro mucho este aspecto del curso.,muy_positivo,metodologia,elogio,medio,4,5,conocimientos_utiles_futuro,4,5
"Recomendaría este curso sin dudarlo a otras personas. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,elogio,largo,4,5,ninguno,1,5
"La metodología del curso es muy práctica y facilita mucho el aprendizaje. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,formal,largo,4,5,grado_dificultad,4,5
"Estoy muy insatisfecho con la atención recibida por parte del soporte. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,queja,largo,1,2,utilidad_anuncios,1,2
"El ambiente en clase favorece mucho la participación. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,elogio,largo,4,5,clase_horario,4,5
"La experiencia global ha sido buena, con algunos puntos mejorables. Creo que aún se podrían mejorar algunos detalles.",positivo,general,constructivo,medio,3,5,ninguno,1,5
"Las actividades planteadas encajan bien con los objetivos del curso. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,elogio,largo,3,5,organiza_actividades,3,5
Repetiría una formación similar con esta escuela. Valoro mucho este aspecto del curso.,positivo,general,elogio,medio,3,5,ninguno,1,5
"Siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Valoro mucho este aspecto del curso.",muy_positivo,soporte,elogio,corto,4,5,utilidad_anuncios,4,5
"La plataforma cumple su función, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido.",neutral,tecnologia,sugerencia,medio,2,4,clase_visibilidad_pantalla,2,4
El soporte suele responder en un tiempo razonable. Valoro mucho este aspecto del curso.,positivo,soporte,elogio,medio,3,5,utilidad_anuncios,3,5
"La calidad de la conexión suele ser buena. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,elogio,largo,3,5,clase_visibilidad_pantalla,3,5
"En conjunto, el curso no ha cumplido del todo mis expectativas. Creo que aún se podrían mejorar algunos detalles.",negativo,general,constructivo,medio,1,3,ninguno,1,5
"La plataforma funciona de forma muy fluida y sin interrupciones. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,elogio,largo,4,5,clase_calidad_audio,4,5
"El ritmo de clase no siempre se adapta al grupo. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,queja,largo,1,3,clase_horario,1,3
"La conexión y la plataforma fallan tan a menudo que desmotivan. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,formal,largo,1,2,clase_calidad_audio,1,2
La tecnología utilizada facilita mucho el seguimiento de las sesiones.,muy_positivo,tecnologia,formal,corto,4,5,clase_calidad_conexion,4,5
Las clases se me pasan rápido porque son dinámicas y entretenidas. Valoro mucho este aspecto del curso.,muy_positivo,clase,elogio,corto,4,5,clase_horario,4,5
"En general las clases son agradables y productivas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,constructivo,largo,3,5,clase_horario,3,5
"La tecnología utilizada facilita mucho el seguimiento de las sesiones. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,informal,largo,4,5,clase_visibilidad_pantalla,4,5
La calidad del audio o vídeo a veces dificulta seguir la clase.,negativo,tecnologia,informal,corto,1,3,clase_visibilidad_pantalla,1,3
"En general estoy satisfecho con el contenido que se ha impartido. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,constructivo,largo,3,5,contenidos_adecuados,3,5
Algunos temas del contenido me han resultado poco relevantes.,negativo,contenido,formal,medio,1,3,contenidos_adecuados,1,3
"Las clases se me hacen muy pesadas y difíciles de seguir. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,clase,formal,largo,1,2,clase_horario,1,2
La metodología es adecuada y me ayuda a entender mejor los temas. Creo que aún se podrían mejorar algunos detalles.,positivo,metodologia,constructivo,medio,3,5,organiza_actividades,3,5
La metodología del curso no se adapta nada a mis necesidades.,muy_negativo,metodologia,formal,corto,1,2,contenidos_adecuados,1,2
Hay un buen equilibrio entre explicación y ejercicios prácticos. Valoro mucho este aspecto del curso.,positivo,metodologia,elogio,medio,3,5,conocimientos_utiles_futuro,3,5
